nohup: ignoring input
2026-08-19 01:24:25,325 | INFO | crypto_bot | Bot started | pair=ROBO-USDT | mode=monitor | equity=1000.00
2026-08-19 01:24:25,918 | INFO | crypto_bot.exchange_api | startup_self_check passed: {'time_drift': 'time_ok (drift=0.056s)', 'instrument_tradable': 'instrument_ok (inst_id=ROBO-USDT, state=live)', 'instrument_whitelist': 'whitelist_ok (inst_id=ROBO-USDT)', 'api_credentials': 'credentials_ok (account balance fetched, code=0)'}
2026-08-19 01:47:18,777 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:47:18.723000+00:00 price=0.01302000 size=846.50000000
2026-08-19 01:47:18,777 | INFO | crypto_bot | 1m CLOSED ts=2026-08-19T01:46:00+00:00 o=0.01302000 h=0.01303000 l=0.01302000 c=0.01302000 v=20791.60000000
2026-08-19 01:47:18,777 | INFO | crypto_bot | ENTRY signal=HOLD reason=trend_filter_not_passed meta={'regime': 'unknown'}
2026-08-19 01:47:48,783 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:47:48.729000+00:00 price=0.01300000 size=2513.80000000
2026-08-19 01:47:48,784 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:47:48.729000+00:00 price=0.01300000 size=2596.80000000
2026-08-19 01:47:48,784 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:47:48.729000+00:00 price=0.01300000 size=3969.70000000
2026-08-19 01:47:48,785 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:47:48.731000+00:00 price=0.01299000 size=11242.00000000
2026-08-19 01:47:48,789 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:47:48.734000+00:00 price=0.01300000 size=4474.00000000
2026-08-19 01:47:49,843 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:47:49.789000+00:00 price=0.01297000 size=14122.50000000
2026-08-19 01:49:01,715 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:49:01.661000+00:00 price=0.01300000 size=7304.60000000
2026-08-19 01:49:01,715 | INFO | crypto_bot | 1m CLOSED ts=2026-08-19T01:47:00+00:00 o=0.01302000 h=0.01302000 l=0.01297000 c=0.01297000 v=39765.30000000
2026-08-19 01:49:01,716 | INFO | crypto_bot | ENTRY signal=HOLD reason=trend_filter_not_passed meta={'regime': 'unknown'}
